seed,min_p_val
26393,7.114476272544393e-05
947240,5.880258126615244e-06
693794,1.0757601396083298e-06
469125,1.7056553975795325e-05
760584,2.7229573170606057e-06
36625,2.9842636537703012e-06
265504,0.0001479927757703537
108978,3.9169420607934565e-07
418785,4.245141339588327e-05
981037,4.697368891963208e-05
951654,2.29844424140065e-05
890253,1.0950871007582426e-06
231266,0.00016880062095664
495588,1.2379386340327042e-05
948358,0.00010615407912321347
639045,5.27418986113662e-06
549168,6.382563871397969e-07
881158,0.00019614550688610438
404950,4.119457000107088e-08
225944,1.3601171031118876e-05
114165,4.892919843503661e-07
927721,8.097494467964922e-07
556095,0.0001809098513851254
592217,2.2555820578337935e-05
593987,0.00040551479606583683
953486,8.229107485306889e-07
921200,2.051789864819427e-06
39908,7.674217022443948e-05
315070,1.7080219385072922e-06
373549,4.3339962457405026e-05
170132,9.7283717186174e-07
163633,4.887107530696012e-05
21475,0.0005902434383722058
662222,1.5111901523236803e-05
557481,4.6325516757616765e-12
86905,3.406963767997267e-05
936967,7.701806709588348e-06
140139,6.281068193241666e-06
35448,2.7933599280414127e-05
534027,4.067794842213148e-05
570590,9.236023409407998e-07
661752,1.2274686170489824e-05
698352,1.918196652151287e-05
949084,5.104485605604712e-05
568357,9.7406000069e-05
954888,9.459691860460426e-06
117091,8.472299200969018e-07
115113,1.5316766152862667e-07
904575,1.3021557157546297e-05
480702,1.1980622120261229e-06
922481,5.6912662119568276e-08
157059,1.826378404657577e-05
326595,6.0761137381521716e-05
690513,2.411036686442297e-05
14845,4.121658546797405e-05
733245,6.32053007705627e-05
689981,1.2787375646225846e-05
665993,6.274576905930763e-05
247831,4.034712017193856e-08
862496,4.04075014452135e-05
89837,3.0310430264078615e-06
457215,4.556379727870219e-07
755367,5.344831990210204e-09
504424,9.01535552163938e-06
574565,1.711629053109377e-05
238754,2.4732943483197462e-05
452253,7.159827778219822e-06
927048,7.317863272293791e-08
525289,6.323642058805595e-05
979555,3.8442435193892136e-05
910176,7.85853657358925e-06
43665,1.869232672768108e-05
403958,7.998811718846251e-07
314422,4.80102242531208e-06
5756,8.81355536342337e-05
419494,5.3596144113928046e-05
153661,4.401366568527315e-07
992127,0.00021667274113901754
702636,3.5388892789364614e-05
654864,7.528200335573591e-06
567222,1.3740290329319185e-06
338499,6.371924575304865e-07
990484,1.5256285169839304e-06
426371,1.1284435613909438e-05
197427,2.9242474857182136e-05
248838,1.675226830539939e-07
90875,1.0101213725245447e-06
54599,8.030577095268388e-07
372571,3.397708053474447e-06
94685,3.0199914316072015e-07
38908,0.00010121212547081683
234184,6.457453235769692e-05
378906,5.5867512430967056e-05
661825,1.507972460870797e-05
513160,1.7892958282035908e-05
694074,2.446934077257172e-06
351810,0.00014888510029634336
743946,1.7267473002879448e-05
75772,4.235463508663228e-05
391127,4.678669676997492e-06
