CHR,POS,p_value,test_stat,maf,SE,effect_size
1,3631,0.985783420863101,0.0003179980161890086,122.56880733944953,0.0002548368396889633,-4.551361410361914e-06
1,5928,0.26667773162248104,1.2380074053125183,186.3577981651376,0.0002513516460888648,0.0002795663375898699
1,11649,0.6895324378721062,0.15987700776586045,61.88532110091743,0.0004340910956552465,0.00017379377147239193
1,23146,0.535142301041732,0.3854380462591063,1048.960244648318,6.063024863113548e-05,3.767700591265694e-05
1,28500,0.13495100094984608,2.245768369466002,4.269113149847095,0.004548875627881306,-0.0068039062910985725
1,31170,0.3577562703573419,0.8481607648598835,757.1284403669724,0.00010935760202472162,-0.00010073705048081809
1,33379,0.9593624674378791,0.0026002805241527992,2900.249235474006,6.482064863067225e-06,3.3104638995435707e-07
1,38752,0.8059327991694868,0.06045540625206892,127.065749235474,0.00023822091031938463,5.865758547790203e-05
1,45296,0.7155859035798449,0.13299302961386483,1217.374617737003,7.497890162715977e-05,-2.737989591912991e-05
1,47485,0.32982960644042125,0.9524211961121603,2350.493883792049,3.444397281439329e-05,3.3617039014018484e-05
1,50075,0.9919424768037326,0.00010214238218565179,2716.2461773700306,2.0688108962276304e-05,2.0940682757782295e-07
1,52239,0.566515004561672,0.32922099457969145,90.36697247706422,0.000377147178127283,-0.00021662166385947782
1,57269,0.3357752814337934,0.9292473550482039,2768.302752293578,1.4241855333702824e-05,1.3730279244128074e-05
1,61905,0.9852172842671651,0.0003438320838369638,28.85474006116208,0.000770173087074882,1.4303042462811484e-05
1,64166,0.7079660532700279,0.14056344009660926,2125.6819571865444,1.3849655709458634e-05,5.1993420463502386e-06
1,70115,0.9882571264032028,0.0002169543173623583,0.6834862385321101,0.012066394327936129,0.00017800353913162168
1,72339,0.7805017028935441,0.07778320753701216,506.79969418960246,0.00019028964470898618,-5.314632446035861e-05
1,73931,0.2830829285540481,1.1560542015565896,830.5152905198777,6.0703937140316545e-05,-6.525323325199864e-05
1,75583,0.014292856876054503,6.066761738890936,345.8211009174312,0.00014824590068419704,0.00036233657280913313
1,83045,0.2587779258216714,1.2797589155098328,56.596330275229356,0.00028109150290805604,0.0003178524278898462
1,86515,0.883119063220077,0.02164782482808599,24.25382262996942,0.001198447735435069,-0.00017659519707701339
1,88898,0.7988154429880321,0.06507057242139123,152.0749235474006,0.0003113285500978888,-7.953071923098853e-05
1,91376,0.48314265159191494,0.49289178303114206,438.5489296636086,0.0001596797688733462,-0.00011219247532369326
1,95987,0.4031369515506418,0.7007797361108511,44.90519877675841,0.0010204232372960475,0.0008546149945040942
1,97456,0.9238022775136934,0.009162239239430573,418.4908256880734,0.0002383877203898346,-2.285313012025805e-05
1,99894,0.38959103290108343,0.7422037187244884,652.7996941896024,6.703701692976301e-05,-5.777607414311103e-05
1,104491,0.0428193609229644,4.134912032015639,33.47553516819572,0.0007565868555126086,-0.0015311359500484163
1,108946,0.836410694139556,0.04270523849322357,387.6070336391437,0.0001329126211657867,-2.7507136761311934e-05
1,114286,0.4916590401122629,0.47396673972322384,199.78134556574923,0.00023432630421146427,-0.0001614528247194329
1,116943,0.13026677270954307,2.300952141491859,1310.5107033639144,3.421721553581684e-05,5.1800460902917454e-05
1,120154,0.03235293742289414,4.619258905309265,0.9143730886850153,0.009070801876367598,0.019388059520977552
1,121067,0.4896610324427537,0.4783574672949189,6022.064220183486,1.0796158702513626e-05,-7.472970728438568e-06
1,132328,0.6227846092757515,0.24243607264637002,191.5382262996942,0.00016521045962154766,-8.144067355349643e-05
1,136124,0.04790561027982115,3.943040755447774,319.87920489296636,0.00025062880514867383,-0.0004954445612632554
1,138513,0.3147837942257148,1.0136298416729654,13.241590214067278,0.00113716528512698,-0.0011448648154325455
1,141971,0.08602986722450837,2.965114910862886,240.6039755351682,0.00024964214280598243,-0.0004285817172217219
1,143564,0.04487648690034648,4.0545460168449,41.63914373088685,0.0007290345183685109,-0.0014611475061809124
1,147153,0.10374732721042874,2.661886723882221,12.741590214067278,0.0017747206594010065,0.0028881558593483628
1,148120,0.48281028508171653,0.49364157663259733,81.71559633027523,0.0002737425927905919,0.00019248007855143673
1,154492,0.2582340232422759,1.2826916966434236,254.5091743119266,0.00014160112435942582,0.00016030225265432915
1,156801,0.5700640978492828,0.32323250855983926,912.3195718654434,6.021440963493476e-05,-3.426961375745514e-05
1,159856,0.5460174793510699,0.365266492789771,458.63149847094803,0.0001884716459169116,0.0001140181909459892
1,163419,0.802098816530828,0.06291908697907324,117.31804281345566,0.0003241252460240557,-8.141963477162536e-05
1,166589,0.26994017282863536,1.221212901968453,4.626911314984709,0.001605947685882523,0.0017741069076779134
1,172146,0.09538956060335838,2.7972314739212196,1145.8058103975536,2.940750593619454e-05,4.90488191108184e-05
1,175782,0.22487493008429704,1.4786078216353464,19.478593272171253,0.0007135992531388945,-0.0008670862943133182
1,180059,0.44976645351352007,0.5726235968773502,1064.1223241590214,6.28276728257186e-05,4.757408609715821e-05
1,185133,0.6586819436850251,0.19548781599044276,266.4617737003058,0.0002652561039470721,0.00011742532701935679
1,187211,0.5045872663281092,0.4462668020667008,474.6651376146789,0.0002185359447274439,0.000146113156561948
1,190596,0.46674340217568777,0.5309238896410813,49.149847094801224,0.0003177993629523978,0.00023172977005101386
1,192640,0.8053642811153862,0.060817433160524535,0.863914373088685,0.007866267190249559,-0.001942715590921358
1,195780,0.8123359588871285,0.05645689006104442,1732.8837920489298,4.505824881808225e-05,-1.0721663826572632e-05
1,199639,0.08575832369600675,2.970278474309675,3249.487767584098,3.149292336722308e-05,-5.411318744796642e-05
1,202136,0.09893634462504222,2.738266413587352,143.73241590214067,9.128439523811608e-05,-0.0001506536355397646
1,205176,0.3356031426260566,0.9299105382322411,40.8348623853211,0.0007195456815520243,-0.000693945952532763
1,209395,0.5439476889125363,0.36904832333745713,228.03363914373088,5.903894429409783e-05,3.590053187831618e-05
1,214229,0.22370473657778894,1.4861120191915043,9.5,0.0012998916350523946,0.0015834682738369507
