Unnamed: 0,accession_id,phenotype_value
2,108,42.0
3,139,43.0
4,159,46.75
5,265,35.25
6,350,41.75
7,351,55.0
8,403,44.5
9,410,55.0
10,424,57.75
11,428,49.33333333
13,630,47.0
14,763,28.75
17,768,67.0
19,801,74.75
20,870,54.0
21,915,32.25
22,932,60.0
25,997,73.0
26,1002,79.75
30,1158,70.5
33,1317,88.0
35,1829,97.0
37,1872,73.25
38,1890,64.75
39,1925,78.0
40,1954,81.75
41,2016,60.25
42,2171,72.0
43,2202,84.75
44,2276,75.0
45,2278,81.75
46,2317,41.75
47,4779,39.25
48,4807,77.25
49,4826,42.0
50,4884,39.5
52,4958,93.0
53,5023,32.5
54,5104,32.0
55,5151,62.75
57,5210,67.75
58,5236,34.25
60,5276,41.25
61,5349,79.66666667
62,5353,53.0
63,5486,27.5
64,5577,40.75
65,5644,33.5
66,5720,52.0
67,5726,37.5
68,5741,80.0
69,5748,31.0
71,5768,76.66666667
72,5772,37.5
73,5779,54.5
74,5784,56.0
75,5800,29.33333333
76,5811,36.0
77,5822,101.5
79,5831,86.0
81,5837,43.25
84,5874,60.25
85,5890,45.25
86,5893,55.5
87,5907,39.0
88,5921,45.75
89,5950,52.25
90,5984,31.5
91,5993,53.0
92,6008,31.25
93,6009,105.5
98,6017,96.0
100,6020,80.0
103,6024,98.5
104,6025,137.0
109,6038,63.0
112,6041,39.5
116,6064,124.6666667
124,6086,87.75
129,6097,83.25
131,6099,103.0
136,6106,85.75
137,6107,97.5
138,6108,42.75
140,6111,81.33333333
152,6133,81.75
155,6137,75.25
156,6138,77.25
157,6140,91.0
159,6145,108.0
160,6148,93.0
165,6169,105.0
168,6174,115.5
169,6177,81.5
177,6194,76.75
178,6195,46.75
179,6198,81.0
180,6201,92.5
182,6203,106.25
185,6217,112.0
186,6218,128.5
187,6220,109.0
191,6240,113.0
192,6241,111.6666667
197,6255,139.0
199,6268,107.0
201,6284,123.3333333
202,6296,37.25
203,6390,52.0
206,6424,41.5
207,6434,29.5
208,6445,37.25
209,6680,81.33333333
210,6744,35.75
211,6900,110.5
213,6909,28.0
218,6970,40.0
219,6973,35.0
220,6974,110.0
222,6979,24.75
228,6989,51.25
230,6992,42.0
236,7013,28.0
240,7028,26.66666667
243,7058,54.25
248,7067,31.0
254,7094,32.75
256,7102,57.5
257,7103,26.25
258,7106,34.0
259,7107,40.5
262,7119,31.25
274,7161,29.0
277,7164,52.5
278,7165,33.0
279,7169,65.5
282,7186,37.5
285,7202,27.75
292,7218,38.75
294,7231,34.33333333
296,7244,34.0
297,7248,54.33333333
298,7250,26.5
305,7282,28.5
307,7288,57.75
308,7296,51.5
314,7316,77.0
316,7320,63.75
317,7322,42.75
318,7328,40.0
325,7346,49.33333333
328,7350,39.33333333
329,7353,62.25
330,7354,96.0
332,7372,36.5
333,7373,43.0
334,7377,49.0
338,7384,57.25
341,7396,57.0
342,7404,31.75
344,7413,36.0
347,7418,36.25
349,7424,25.0
350,7427,81.25
354,7477,38.25
356,7517,104.5
357,7717,67.0
358,7917,55.0
360,8077,46.75
361,8132,51.66666667
365,8231,96.25
366,8233,59.75
367,8234,85.5
368,8235,58.25
369,8236,53.66666667
371,8238,42.25
372,8239,30.5
377,8244,46.75
378,8246,65.0
379,8247,76.5
382,8259,55.5
383,8264,52.0
385,8284,60.5
387,8290,31.5
388,8297,71.0
394,8334,43.0
396,8337,62.0
397,8343,50.25
398,8351,89.25
400,8357,46.0
401,8365,28.5
402,8366,33.0
405,8386,40.5
407,8419,43.5
410,8424,69.75
414,9067,106.6666667
417,9075,90.25
418,9078,95.75
419,9079,94.5
420,9081,91.33333333
421,9084,103.75
422,9085,90.25
423,9089,111.0
424,9091,86.0
425,9095,105.0
426,9099,106.6666667
427,9100,58.5
428,9102,67.25
429,9103,72.75
430,9104,47.75
431,9105,62.75
432,9106,75.75
433,9111,77.25
434,9113,61.25
435,9114,89.5
436,9115,72.5
437,9121,89.0
438,9125,59.0
439,9128,51.66666667
440,9130,51.0
441,9131,54.0
442,9133,57.25
443,9134,52.0
444,9298,34.75
445,9312,47.5
446,9314,51.5
447,9321,122.3333333
461,9386,96.25
462,9388,124.0
470,9404,69.0
471,9405,86.0
473,9408,108.75
474,9409,115.0
478,9421,89.5
480,9433,125.0
485,9451,103.75
493,9503,43.75
494,9506,57.75
495,9507,37.5
496,9508,48.75
497,9509,49.25
498,9510,44.75
499,9511,45.75
500,9512,30.25
501,9513,55.66666667
502,9514,75.33333333
503,9515,40.25
504,9517,25.5
505,9518,73.75
506,9519,57.0
507,9520,108.5
508,9521,59.25
509,9522,51.66666667
510,9523,70.5
511,9524,87.0
512,9525,67.25
513,9526,44.75
514,9527,67.0
516,9529,55.0
517,9530,100.5
518,9531,81.25
519,9532,95.5
520,9533,71.25
521,9534,51.0
522,9535,78.0
524,9537,40.0
526,9540,78.0
527,9541,53.0
528,9542,91.75
529,9543,81.0
530,9544,44.75
531,9545,96.66666667
532,9547,59.75
533,9548,131.5
534,9549,82.0
535,9550,107.5
536,9551,107.0
537,9552,134.0
538,9553,109.5
539,9554,88.25
541,9556,53.5
542,9557,99.0
543,9558,105.0
544,9559,53.25
545,9560,42.75
546,9561,104.0
547,9562,67.75
548,9565,61.5
549,9567,88.5
550,9568,87.0
