Unnamed: 0,accession_id,phenotype_value
2,108,33.0
3,139,37.5
4,159,43.5
5,265,22.0
6,350,28.0
7,351,37.5
8,403,35.5
9,410,40.5
10,424,44.5
11,428,33.66666667
13,630,41.0
14,763,12.0
17,768,28.0
19,801,61.0
20,870,40.75
21,915,20.0
22,932,52.25
25,997,64.5
26,1002,77.75
30,1158,48.0
33,1317,48.33333333
35,1829,62.0
37,1872,55.5
38,1890,45.25
39,1925,46.0
40,1954,50.25
41,2016,47.75
42,2171,54.25
43,2202,62.25
44,2276,59.5
45,2278,31.0
46,2317,27.0
47,4779,23.5
48,4807,62.75
49,4826,34.33333333
50,4884,32.25
52,4958,80.33333333
53,5023,23.25
54,5104,14.5
55,5151,54.75
57,5210,52.5
58,5236,22.25
60,5276,26.25
61,5349,54.66666667
62,5353,44.25
63,5486,15.0
64,5577,30.0
65,5644,20.5
66,5720,36.33333333
67,5726,30.25
68,5741,61.5
69,5748,16.5
71,5768,42.66666667
72,5772,28.75
73,5779,39.25
74,5784,39.75
75,5800,13.33333333
76,5811,24.5
78,5831,59.25
80,5837,33.75
82,5874,46.75
83,5890,33.0
84,5893,43.0
85,5907,37.0
86,5921,44.25
87,5950,57.5
88,5984,21.75
89,5993,49.0
90,6008,23.25
91,6009,69.0
95,6017,81.0
96,6020,60.0
99,6024,70.0
103,6038,61.25
106,6041,25.5
111,6086,50.0
115,6097,46.25
117,6099,53.0
121,6106,72.0
122,6107,71.0
123,6108,43.25
125,6111,61.33333333
136,6133,59.0
139,6137,73.5
140,6138,55.75
141,6140,74.5
143,6145,78.0
144,6148,43.0
149,6177,61.75
157,6194,49.75
158,6195,31.75
159,6198,43.5
160,6201,63.25
161,6203,65.0
166,6240,45.0
170,6296,26.25
171,6390,36.0
174,6424,32.5
175,6434,14.5
176,6445,24.75
177,6680,72.66666667
178,6744,22.5
179,6900,82.0
181,6909,16.0
185,6970,34.75
186,6973,17.5
188,6979,12.5
194,6989,34.5
196,6992,27.25
202,7013,16.75
206,7028,19.5
209,7058,34.5
214,7067,20.25
220,7094,16.0
222,7102,59.0
223,7103,14.0
224,7106,19.5
225,7107,28.75
228,7119,20.0
240,7161,15.66666667
243,7164,40.75
244,7165,21.25
245,7169,51.75
248,7186,30.75
251,7202,15.25
258,7218,44.0
260,7231,17.0
262,7244,23.5
263,7248,43.33333333
264,7250,11.0
271,7282,17.75
273,7288,43.25
274,7296,25.0
280,7316,51.33333333
282,7320,36.75
283,7322,40.0
284,7328,32.75
291,7346,35.0
294,7350,35.0
295,7353,53.0
296,7354,71.0
298,7372,32.5
299,7373,36.75
300,7377,35.5
