Unnamed: 0,accession_id,phenotype_value
2,108,7.25
3,139,6.5
4,159,7.0
5,265,7.75
6,350,8.75
7,351,12.5
8,403,7.5
9,410,9.0
10,424,10.75
11,428,8.666666667
13,630,11.5
14,763,3.0
17,768,10.5
19,801,16.75
20,870,8.5
21,915,6.25
22,932,12.75
25,997,19.5
26,1002,13.0
30,1158,17.0
33,1317,12.0
35,1829,9.333333333
37,1872,11.75
38,1890,10.0
39,1925,12.0
40,1954,13.5
41,2016,10.0
42,2171,15.5
43,2202,12.5
44,2276,13.5
45,2278,8.666666667
46,2317,9.0
47,4779,5.5
48,4807,15.33333333
49,4826,8.333333333
50,4884,10.33333333
52,4958,12.5
53,5023,7.25
54,5104,2.5
55,5151,10.5
57,5210,12.66666667
58,5236,5.75
60,5276,8.0
61,5349,15.66666667
62,5353,9.5
63,5486,3.5
64,5577,6.25
65,5644,5.5
66,5720,8.666666667
67,5726,7.25
68,5741,14.25
69,5748,5.25
71,5768,11.0
72,5772,8.0
73,5779,19.25
74,5784,13.25
75,5800,4.0
76,5811,7.0
77,5822,5.0
79,5831,12.5
81,5837,8.0
83,5874,10.66666667
84,5890,9.75
85,5893,10.5
86,5907,9.25
87,5921,9.25
88,5950,15.25
89,5984,5.25
90,5993,10.5
91,6008,7.25
92,6009,4.0
96,6017,11.0
97,6020,12.0
100,6024,25.0
105,6038,13.5
108,6041,8.0
112,6064,9.0
118,6086,13.33333333
122,6097,16.0
124,6099,20.33333333
129,6106,12.75
130,6107,11.75
131,6108,7.75
133,6111,16.33333333
144,6133,22.25
147,6137,15.25
148,6138,19.75
149,6140,19.0
151,6145,15.5
152,6148,15.66666667
157,6169,6.0
160,6174,9.0
161,6177,22.75
169,6194,20.5
170,6195,9.25
171,6198,9.5
172,6201,15.0
174,6203,11.5
176,6217,10.0
177,6220,9.333333333
181,6240,10.0
182,6241,12.66666667
187,6268,20.0
188,6296,7.666666667
189,6390,8.666666667
192,6424,6.75
193,6434,4.666666667
194,6445,6.5
195,6680,16.0
196,6744,8.666666667
197,6900,11.0
199,6909,4.0
203,6970,7.5
204,6973,6.0
205,6974,19.0
207,6979,5.0
213,6989,6.5
215,6992,6.75
221,7013,5.5
225,7028,5.25
228,7058,9.25
233,7067,7.0
239,7094,5.5
241,7102,12.5
242,7103,3.75
243,7106,5.5
244,7107,7.75
247,7119,7.25
259,7161,5.0
262,7164,7.0
263,7165,6.5
264,7169,19.75
267,7186,9.5
270,7202,4.0
277,7218,11.33333333
279,7231,5.333333333
281,7244,8.25
282,7248,9.666666667
283,7250,3.75
290,7282,4.75
292,7288,13.0
293,7296,7.75
299,7316,15.0
301,7320,8.5
302,7322,13.25
303,7328,6.75
310,7346,8.333333333
313,7350,7.0
314,7353,8.5
315,7354,16.0
317,7372,10.0
318,7373,9.5
319,7377,9.5
323,7384,12.5
326,7396,10.5
327,7404,6.666666667
329,7413,5.75
332,7418,8.75
334,7424,2.5
335,7427,11.33333333
339,7477,11.0
341,7517,20.0
342,7717,11.66666667
343,7917,17.75
345,8077,7.25
346,8132,9.0
349,8231,10.5
350,8233,9.0
351,8234,12.66666667
352,8235,10.5
353,8236,7.333333333
355,8238,9.75
356,8239,6.25
361,8244,13.0
362,8246,12.33333333
363,8247,18.0
366,8259,12.0
367,8264,11.0
369,8284,17.0
371,8290,8.0
372,8297,12.25
378,8334,6.25
380,8337,14.33333333
381,8343,11.5
382,8351,10.5
384,8357,11.0
385,8365,6.5
386,8366,6.75
389,8386,7.75
391,8419,9.25
394,8424,9.0
398,9067,12.0
401,9075,8.25
402,9078,10.66666667
403,9079,10.0
404,9081,10.5
405,9084,14.0
406,9085,16.0
407,9089,13.0
408,9091,14.0
409,9095,11.5
410,9099,11.0
411,9100,11.0
412,9102,11.25
413,9103,15.0
414,9104,8.75
415,9105,11.5
416,9106,11.0
417,9111,9.5
418,9113,7.333333333
419,9114,10.5
420,9115,13.75
421,9121,13.75
422,9125,7.25
423,9128,7.0
424,9130,8.5
425,9131,7.0
426,9133,6.75
427,9134,7.666666667
428,9298,7.0
429,9312,10.0
430,9314,8.666666667
441,9386,8.0
449,9404,16.75
450,9405,21.0
452,9408,11.5
453,9409,18.0
457,9421,16.75
463,9451,15.66666667
470,9503,7.25
471,9506,12.0
472,9507,8.666666667
473,9508,8.666666667
474,9509,8.75
475,9510,9.0
476,9511,9.5
477,9512,5.5
478,9513,6.0
479,9514,8.5
480,9515,7.25
481,9517,4.0
482,9518,16.66666667
483,9519,9.5
484,9520,11.0
485,9521,9.0
486,9522,9.333333333
487,9523,13.75
488,9524,14.66666667
489,9525,10.5
490,9526,10.5
491,9527,14.25
493,9529,6.75
494,9530,8.0
495,9531,14.0
496,9532,6.666666667
497,9533,8.0
498,9534,13.66666667
499,9535,16.0
501,9537,11.33333333
503,9540,13.0
504,9541,9.0
505,9542,14.0
506,9543,9.666666667
507,9544,9.75
508,9545,7.0
509,9547,12.0
510,9549,13.0
511,9551,18.0
512,9553,11.0
513,9554,10.0
515,9556,6.0
516,9558,11.66666667
517,9559,11.0
518,9560,9.25
519,9561,9.0
520,9562,12.75
521,9565,11.33333333
522,9567,10.0
523,9568,18.66666667
524,9569,11.5
526,9573,7.666666667
527,9576,16.5
528,9577,14.0
529,9578,15.75
530,9579,12.5
531,9581,10.0
532,9582,11.0
533,9583,10.75
534,9584,14.0
535,9585,2.5
536,9587,9.5
537,9588,8.0
539,9590,4.5
540,9591,5.5
541,9592,7.333333333
542,9593,16.0
543,9594,11.0
544,9595,16.5
545,9596,9.25
546,9597,7.0
547,9598,5.0
548,9599,14.0
549,9600,8.0
550,9601,13.0
551,9602,10.66666667
552,9606,4.0
553,9607,10.5
554,9608,8.75
555,9609,6.75
556,9610,14.0
557,9611,8.75
558,9612,9.75
559,9613,16.5
560,9615,8.75
561,9616,11.66666667
562,9617,10.5
563,9619,6.5
564,9620,9.0
565,9621,9.75
566,9622,9.0
567,9624,7.666666667
569,9626,7.5
570,9627,9.75
571,9628,7.0
572,9629,6.75
573,9630,6.75
574,9631,26.0
575,9632,8.0
576,9633,7.666666667
577,9634,9.5
579,9636,14.0
580,9637,6.75
581,9638,11.0
582,9639,5.75
583,9640,8.5
585,9642,10.0
587,9644,14.75
588,9645,11.0
589,9646,11.5
590,9647,7.0
591,9648,10.5
592,9649,10.75
593,9651,9.333333333
594,9653,7.25
595,9655,14.0
596,9656,13.66666667
598,9658,10.75
599,9659,12.0
600,9660,4.5
601,9661,5.333333333
602,9663,14.33333333
604,9665,11.66666667
605,9666,15.0
607,9668,10.0
608,9669,15.5
612,9673,13.0
615,9678,9.0
616,9679,11.75
617,9680,8.333333333
618,9681,12.25
619,9682,13.25
620,9683,11.25
621,9684,17.33333333
626,9690,9.333333333
629,9693,9.5
632,9696,13.25
633,9697,12.66666667
634,9698,11.33333333
635,9699,8.333333333
637,9701,13.33333333
638,9703,17.0
639,9704,7.666666667
640,9705,9.5
641,9706,13.33333333
642,9707,14.25
643,9708,4.0
644,9709,11.75
645,9710,12.75
646,9711,11.75
647,9712,12.0
648,9713,10.5
649,9714,10.0
651,9717,11.66666667
653,9719,10.0
654,9720,15.66666667
655,9721,18.75
656,9722,13.0
657,9723,10.0
658,9725,7.0
659,9726,8.333333333
660,9727,6.25
661,9728,13.5
662,9729,20.0
663,9730,14.25
664,9731,16.75
665,9732,14.75
666,9733,23.25
667,9735,16.5
668,9736,8.333333333
669,9737,9.0
670,9738,12.5
671,9739,5.333333333
672,9741,11.5
673,9743,13.0
674,9744,10.33333333
675,9745,5.25
676,9747,13.0
677,9748,12.0
678,9749,11.0
679,9755,11.5
680,9756,11.66666667
681,9757,12.0
683,9759,9.0
685,9762,12.25
688,9768,10.33333333
689,9769,7.333333333
690,9770,8.333333333
691,9771,6.25
692,9772,5.5
693,9774,7.0
694,9775,7.0
695,9776,6.0
696,9777,6.25
697,9778,6.0
698,9779,7.0
699,9780,7.25
700,9781,4.666666667
701,9782,4.75
702,9783,10.0
703,9784,7.0
704,9785,8.0
705,9786,5.25
707,9788,7.0
708,9789,6.25
709,9790,6.0
710,9791,8.333333333
711,9792,6.0
712,9793,8.666666667
713,9794,6.5
714,9795,5.0
715,9796,6.0
716,9797,4.75
717,9798,5.0
718,9799,7.5
719,9800,4.75
720,9801,3.666666667
721,9802,6.0
